NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"C.J. Henderson","CB","JAX",2,62,61,59,12,"",73,79,"",64,64,"","","","","","","",474,59,42.32,
"Damontae Kazee","SS","ATL",1,62,77,81,21,"","","","","","","","","","","","","",241,60,22.29,
"De'Vondre Campbell","LB","ARI",1,62,65,66,77,69,72,84,"",61,39,26,51,71,22,35,"",42,880,55,79.42,
"Isaiah Oliver","CB","ATL",2,62,82,82,63,54,38,45,46,35,"",18,38,49,57,39,55,60,831,51,76.87,
"Jordan Hicks","IL","ARI",2,62,61,66,77,69,86,66,"",61,73,66,53,82,46,83,"",18,1024,64,92.42,
"Jordan Whitehead","SS","TB",1,62,73,63,53,63,60,56,55,66,34,50,70,"",55,49,47,62,918,57,86.36,
"Kenneth Murray Jr.","LB","LAC",1,62,64,45,74,76,"",63,65,26,"",33,"","","","",97,"",958,59,92.47,
"Mackensie Alexander","CB","CIN",2,62,26,84,"","",55,38,39,"",15,38,69,56,34,61,51,"",642,49,60.62,
"Whitney Mercilus","LB","HOU",1,62,50,59,44,50,40,39,"","",45,36,59,48,37,32,"","",614,47,55.47,
"Avonte Maddox","CB","PHI",1,61,69,39,"","","",3,79,"",64,32,67,61,21,"","","",251,25,43.96,
"C.J. Gardner-Johnson","SS","NO",2,61,55,60,59,59,"",33,69,46,61,41,39,58,66,78,60,"",1024,64,64,
"Devin McCourty","FS","NE",1,61,63,59,56,"",64,66,58,"",66,44,74,58,59,73,35,63,674,42,100,2
"Jerome Baker","IL","MIA",1,61,57,59,44,63,71,"",75,52,38,20,43,43,61,55,62,64,868,54,84.03,
"Patrick Peterson","CB","ARI",1,61,66,66,76,69,86,84,"",59,73,66,52,83,45,83,"",73,1096,68,98.92,
